x,y
0.154034788,0
3.808907879,1
2.532804073,1
3.017030201,1
3.009388587,0
3.667079047,1
1.906282057,1
1.674598504,1
0.437006456,0
3.854912554,1
0.11014875,0
1.120003113,1
4.023106324,1
0.198847945,0
2.918300004,1
1.941026717,1
4.327594038,1
0.564595727,0
0.986011174,0
3.089891169,1
2.450129193,1
4.460847514,0
2.975248166,1
1.762321456,1
1.3937062,1
4.759552039,0
0.055473713,0
2.339505996,1
3.75868149,1
2.53224359,1
1.859893221,1
3.900025713,1
3.062039907,0
1.110287826,1
2.107375507,1
4.06515324,0
0.058348661,0
4.209504899,1
3.772763395,1
0.746215702,1
